[Step4] SAVE_ROOT=/scratch-shared/tc1proj005/folds FOLDS=[2] MODELS=['llama'] SAVE_LASTTOK=False TOPK=0
[Step4] Loaded data/fold_data/fold_2_train.csv rows=203657 cols=17
[Step4] Loaded data/fold_data/fold_2_val.csv rows=11495 cols=9
[Step4] Loading llama fold 2 from LoRA /scratch-shared/tc1proj005/folds/llama_fold_2_lora + base /scratch-shared/tc1proj005/post_pretrain_llama3-8b_merged
[Step4][Info] Tokenizer source for llama fold 2: /scratch-shared/tc1proj005/folds/llama_fold_2_lora
[Step4][Info] Accelerate device_map detected; skipping explicit model.to().
[Step4][Subset] llama fold 2: sampled 16989/203657 rows (seed offset).
[Step4] Using batched loglik batch_size=8 progress_every=5
[Step4][Progress] RespA fold batch 8/16989 (1.75 ex/s) elapsed=0.1m
[Step4][Progress] RespA fold batch 48/16989 (3.56 ex/s) elapsed=0.2m
[Step4][Progress] RespA fold batch 88/16989 (4.43 ex/s) elapsed=0.3m
[Step4][Progress] RespA fold batch 128/16989 (5.21 ex/s) elapsed=0.4m
[Step4][Progress] RespA fold batch 168/16989 (4.97 ex/s) elapsed=0.6m
[Step4][Progress] RespA fold batch 208/16989 (5.24 ex/s) elapsed=0.7m
[Step4][Progress] RespA fold batch 248/16989 (5.31 ex/s) elapsed=0.8m
[Step4][Progress] RespA fold batch 288/16989 (5.09 ex/s) elapsed=0.9m
[Step4][Progress] RespA fold batch 328/16989 (5.15 ex/s) elapsed=1.1m
[Step4][Progress] RespA fold batch 368/16989 (5.29 ex/s) elapsed=1.2m
[Step4][Progress] RespA fold batch 408/16989 (5.43 ex/s) elapsed=1.3m
[Step4][Progress] RespA fold batch 448/16989 (5.50 ex/s) elapsed=1.4m
[Step4][Progress] RespA fold batch 488/16989 (5.46 ex/s) elapsed=1.5m
[Step4][Progress] RespA fold batch 528/16989 (5.48 ex/s) elapsed=1.6m
[Step4][Progress] RespA fold batch 568/16989 (5.49 ex/s) elapsed=1.7m
[Step4][Progress] RespA fold batch 608/16989 (5.42 ex/s) elapsed=1.9m
[Step4][Progress] RespA fold batch 648/16989 (5.47 ex/s) elapsed=2.0m
[Step4][Progress] RespA fold batch 688/16989 (5.38 ex/s) elapsed=2.1m
[Step4][Progress] RespA fold batch 728/16989 (5.39 ex/s) elapsed=2.3m
[Step4][Progress] RespA fold batch 768/16989 (5.36 ex/s) elapsed=2.4m
[Step4][Progress] RespA fold batch 808/16989 (5.37 ex/s) elapsed=2.5m
[Step4][Progress] RespA fold batch 848/16989 (5.35 ex/s) elapsed=2.6m
[Step4][Progress] RespA fold batch 888/16989 (5.35 ex/s) elapsed=2.8m
[Step4][Progress] RespA fold batch 928/16989 (5.24 ex/s) elapsed=2.9m
[Step4][Progress] RespA fold batch 968/16989 (5.14 ex/s) elapsed=3.1m
[Step4][Progress] RespA fold batch 1008/16989 (5.17 ex/s) elapsed=3.2m
[Step4][Progress] RespA fold batch 1048/16989 (5.17 ex/s) elapsed=3.4m
[Step4][Progress] RespA fold batch 1088/16989 (5.14 ex/s) elapsed=3.5m
[Step4][Progress] RespA fold batch 1128/16989 (5.17 ex/s) elapsed=3.6m
[Step4][Progress] RespA fold batch 1168/16989 (5.21 ex/s) elapsed=3.7m
[Step4][Progress] RespA fold batch 1208/16989 (5.21 ex/s) elapsed=3.9m
[Step4][Progress] RespA fold batch 1248/16989 (5.20 ex/s) elapsed=4.0m
[Step4][Progress] RespA fold batch 1288/16989 (5.20 ex/s) elapsed=4.1m
[Step4][Progress] RespA fold batch 1328/16989 (5.19 ex/s) elapsed=4.3m
[Step4][Progress] RespA fold batch 1368/16989 (5.19 ex/s) elapsed=4.4m
[Step4][Progress] RespA fold batch 1408/16989 (5.20 ex/s) elapsed=4.5m
[Step4][Progress] RespA fold batch 1448/16989 (5.21 ex/s) elapsed=4.6m
[Step4][Progress] RespA fold batch 1488/16989 (5.22 ex/s) elapsed=4.8m
[Step4][Progress] RespA fold batch 1528/16989 (5.23 ex/s) elapsed=4.9m
[Step4][Progress] RespA fold batch 1568/16989 (5.20 ex/s) elapsed=5.0m
[Step4][Progress] RespA fold batch 1608/16989 (5.19 ex/s) elapsed=5.2m
[Step4][Progress] RespA fold batch 1648/16989 (5.22 ex/s) elapsed=5.3m
[Step4][Progress] RespA fold batch 1688/16989 (5.23 ex/s) elapsed=5.4m
[Step4][Progress] RespA fold batch 1728/16989 (5.22 ex/s) elapsed=5.5m
[Step4][Progress] RespA fold batch 1768/16989 (5.23 ex/s) elapsed=5.6m
[Step4][Progress] RespA fold batch 1808/16989 (5.19 ex/s) elapsed=5.8m
[Step4][Progress] RespA fold batch 1848/16989 (5.19 ex/s) elapsed=5.9m
[Step4][Progress] RespA fold batch 1888/16989 (5.18 ex/s) elapsed=6.1m
[Step4][Progress] RespA fold batch 1928/16989 (5.16 ex/s) elapsed=6.2m
[Step4][Progress] RespA fold batch 1968/16989 (5.18 ex/s) elapsed=6.3m
[Step4][Progress] RespA fold batch 2008/16989 (5.17 ex/s) elapsed=6.5m
[Step4][Progress] RespA fold batch 2048/16989 (5.20 ex/s) elapsed=6.6m
[Step4][Progress] RespA fold batch 2088/16989 (5.20 ex/s) elapsed=6.7m
[Step4][Progress] RespA fold batch 2128/16989 (5.22 ex/s) elapsed=6.8m
[Step4][Progress] RespA fold batch 2168/16989 (5.23 ex/s) elapsed=6.9m
[Step4][Progress] RespA fold batch 2208/16989 (5.22 ex/s) elapsed=7.1m
[Step4][Progress] RespA fold batch 2248/16989 (5.21 ex/s) elapsed=7.2m
[Step4][Progress] RespA fold batch 2288/16989 (5.21 ex/s) elapsed=7.3m
[Step4][Progress] RespA fold batch 2328/16989 (5.19 ex/s) elapsed=7.5m
[Step4][Progress] RespA fold batch 2368/16989 (5.22 ex/s) elapsed=7.6m
[Step4][Progress] RespA fold batch 2408/16989 (5.22 ex/s) elapsed=7.7m
[Step4][Progress] RespA fold batch 2448/16989 (5.23 ex/s) elapsed=7.8m
[Step4][Progress] RespA fold batch 2488/16989 (5.22 ex/s) elapsed=7.9m
[Step4][Progress] RespA fold batch 2528/16989 (5.22 ex/s) elapsed=8.1m
[Step4][Progress] RespA fold batch 2568/16989 (5.21 ex/s) elapsed=8.2m
[Step4][Progress] RespA fold batch 2608/16989 (5.22 ex/s) elapsed=8.3m
[Step4][Progress] RespA fold batch 2648/16989 (5.23 ex/s) elapsed=8.4m
[Step4][Progress] RespA fold batch 2688/16989 (5.23 ex/s) elapsed=8.6m
[Step4][Progress] RespA fold batch 2728/16989 (5.21 ex/s) elapsed=8.7m
[Step4][Progress] RespA fold batch 2768/16989 (5.23 ex/s) elapsed=8.8m
[Step4][Progress] RespA fold batch 2808/16989 (5.26 ex/s) elapsed=8.9m
[Step4][Progress] RespA fold batch 2848/16989 (5.28 ex/s) elapsed=9.0m
[Step4][Progress] RespA fold batch 2888/16989 (5.27 ex/s) elapsed=9.1m
[Step4][Progress] RespA fold batch 2928/16989 (5.28 ex/s) elapsed=9.2m
[Step4][Progress] RespA fold batch 2968/16989 (5.28 ex/s) elapsed=9.4m
[Step4][Progress] RespA fold batch 3008/16989 (5.27 ex/s) elapsed=9.5m
[Step4][Progress] RespA fold batch 3048/16989 (5.26 ex/s) elapsed=9.7m
[Step4][Progress] RespA fold batch 3088/16989 (5.24 ex/s) elapsed=9.8m
